studyid,country,yearsofstudy,studydesign,studysize,studyquality,studypopulation,eligiblitycriteria,exposure,exposuredefinition,exposureanalysis,comparatorgroup,healthoutcomecategory,outcomereportedbypaper,casedefinition,casedefinitiontype,outcomeassessment,methodoffollowuporrecall,durationoffollowuporrecall,incidenceorprevalence,numberexposed,numberofunexposed,numberofexposedcases,numberofunexposedcaes,numberofexposednoncases,numberofunexposednoncases,or,lor,uor,cor,corlower95ci,corupper95ci,aor,aorlower95ci,aorupper95ci,symptom,region,rct,logOR,logOR_L,logOR_U,logORse
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,head,head,Non-swimmer,Ear,Earache,ear ache,Single,Self-reported,Telephone interview,10 days,Incidence,1805,1851,48,14,1757,1837,2.890000105,1.549999952,5.389999866,,,,2.890000105,1.549999952,5.389999866,Earache (single symptom case definition),North America,No,1.061256528,0.438254893,1.684545398,0.317931265
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Swimmer head immersion,head,Non-swimmer,Enteric,Nausea,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,1805,1851,56,49,1749,1802,1.389999986,0.879999995,2.170000076,,,,1.389999986,0.879999995,2.170000076,Nausea,North America,No,0.329303741,-0.127833381,0.774727225,0.230245054
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,Body immersion,any,Non-swimmer,Enteric,Vomiting,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,2502,1851,47,20,2455,1831,1.309999943,0.75999999,2.269999981,,,,1.309999943,0.75999999,2.269999981,Vomiting,North America,No,0.270027101,-0.274436861,0.819779813,0.279136896
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,Body immersion,any,Non-swimmer,Enteric,Diarrhoea,3 or more loose stools in 24h,Single,Self-reported,Telephone interview,10 days,Incidence,2502,1851,123,78,2379,1773,1.139999986,0.800000012,1.610000014,,,,1.139999986,0.800000012,1.610000014,Diarrhoea,North America,No,0.13102825,-0.223143533,0.476234198,0.178412691
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,Body immersion,any,Non-swimmer,Enteric,Cramps,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,2502,1851,138,79,2364,1772,1.169999957,0.850000024,1.620000005,,,,1.169999957,0.850000024,1.620000005,Stomach ache,North America,No,0.157003716,-0.162518904,0.482426167,0.164526805
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,Body immersion,any,Non-swimmer,Enteric,Nausea,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,2502,1851,69,49,2433,1802,1.159999967,0.75,1.799999952,,,,1.159999967,0.75,1.799999952,Nausea,North America,No,0.148419976,-0.287682086,0.587786615,0.223333851
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Swimmer head immersion,head,Non-swimmer,Enteric,Vomiting,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,1805,1851,33,20,1772,1831,1.129999995,0.469999999,3,,,,1.299999952,0.75,2.269999981,Vomiting,North America,No,0.122217625,-0.755022585,1.098612309,0.472866058
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Head immersion,head,Non-swimmer,Enteric,Gastrointestinal illness,"Diarrhoea, vomiting, nausea, and stomach cramps; nausea and missed daily activities due to gastrointestinal illness; or stomach cramps and missed daily activities due to gastrointestinal illness",Multi-symptom,Self-reported,Telephone interview,10 days,Incidence,1805,1851,129,109,1676,1742,1.139999986,0.829999983,1.559999943,,,,1.139999986,0.829999983,1.559999943,Gastrointestinal infection (case definition requires at least one of a list of symptoms),North America,No,0.13102825,-0.186329603,0.444685787,0.16097331
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,Body immersion,any,Non-swimmer,Enteric,Gastrointestinal illness,"Diarrhoea, vomiting, nausea, and stomach cramps; nausea and missed daily activities due to gastrointestinal illness; or stomach cramps and missed daily activities due to gastrointestinal illness",Multi-symptom,Self-reported,Telephone interview,10 days,Incidence,2502,1851,184,109,2318,1742,1.139999986,0.850000024,1.539999962,,,,1.139999986,0.850000024,1.539999962,Gastrointestinal infection (case definition requires at least one of a list of symptoms),North America,No,0.13102825,-0.162518904,0.431782395,0.151607469
Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,any,any,Non-swimmer,Ear,Earache,ear ache,Single,Self-reported,Telephone interview,10 days,Incidence,2502,1851,58,14,2444,1837,2.440000057,1.289999962,4.650000095,,,,2.440000057,1.289999962,4.650000095,Earache (single symptom case definition),North America,No,0.891998053,0.254642189,1.536867261,0.327098221
